ID,Name,Position,ADP,Team,,Instructions
1109979,Ja'Marr Chase,WR,1.1258705,CIN,,1. Rank players in column A and B in order of how you would like them to appear in your pre-draft rankings.
1228244,Bijan Robinson,RB,2.41235,ATL,,2. Note: The ID in column A is what will determine the order of the pre-draft rankings. Remember to keep these next to the corresponding player. You must include an ID for each player; you cannot use just the player's name.
883302,Saquon Barkley,RB,3.7345583,PHI,,3. Upload as a CSV file and save ranking.
1062020,CeeDee Lamb,WR,4.045095,DAL
1214154,Jahmyr Gibbs,RB,4.4961195,DET
1069535,Justin Jefferson,WR,6.410227,MIN
830517,Christian McCaffrey,RB,7.0068827,SF
1074698,Nico Collins,WR,8.596353,HOU
1286059,Malik Nabers,WR,9.699626,NYG
1127106,Amon-Ra St. Brown,WR,10.664225,DET
732145,Derrick Henry,RB,10.934385,BAL
1379646,Ashton Jeanty,RB,12.348967,LV
1162128,Puka Nacua,WR,13.376237,LAR
1286064,Brian Thomas Jr.,WR,14.0644455,JAX
1178741,Drake London,WR,15.311131,ATL
1123379,Chase Brown,RB,15.7849455,CIN
1285917,Brock Bowers,TE,18.176916,LV
1065406,Jonathan Taylor,RB,18.360506,IND
1231820,De'Von Achane,RB,20.390821,MIA
944826,A.J. Brown,WR,20.49454,PHI
1287923,Bucky Irving,RB,20.5619,TB
1218643,Ladd McConkey,WR,21.917896,LAC
944416,Josh Jacobs,RB,22.52743,GB
1108161,Trey McBride,TE,25.42521,ARI
868199,Josh Allen,QB,25.51591,BUF
978579,Tee Higgins,WR,26.462072,CIN
877745,Lamar Jackson,QB,28.066853,BAL
1167361,Kyren Williams,RB,28.231792,LAR
1398572,Omarion Hampton,RB,29.358917,LAC
1214087,Jaxon Smith-Njigba,WR,30.144032,SEA
593587,Mike Evans,WR,31.922297,TB
1131012,James Cook,RB,32.245224,BUF
823156,Tyreek Hill,WR,34.213997,MIA
1287837,TreVeyon Henderson,RB,34.23661,NE
733672,George Kittle,TE,34.89788,SF
1161228,Jayden Daniels,QB,36.23118,WAS
1287828,Marvin Harrison Jr.,WR,37.16006,ARI
1164889,Garrett Wilson,WR,39.9123,NYJ
